Player;Squad;Nation;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xAG;Gls/90;G-PK/90;Ast/90;xG/90;xAG/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xAG;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Clr/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;xA/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90;MP_Squad
Abner;Betis;BRA;DF;23;21;1303;0;0;0;0.1;0.6;0.0;0.0;0.0;0.01;0.04;La Liga;4;0.28;0.00;77.3;88.9;76.7;47.3;-0.6;0.9;1.05;0.71;1.86;2.76;43.0;0.33;53.8;0.97;0.00;56.5;1.57;24.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;27.38;35.43;15.67;8.95;1.67;409.76;196.81;0.05;0.33;0.86;0.33;0.1;1.48;1.19;3.48;0.71;0.1;0.62;-24.799999999999997;-1.18;33
Paul Akouokou;Betis;CIV;MF;26;2;27;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;94.1;87.5;100.0;100.0;0.0;1.5;1.5;0.5;3.0;0.5;13.0;0.0;0;0.00;0.00;0;1.50;0.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;8.0;8.5;3.5;3.5;0.5;140.0;32.5;0.0;0.0;0.0;0.0;0.0;0.5;0.35;0.0;0.5;0.5;0.0;-0.7;-0.35;33
Sergi Altimira;Betis;ESP;MF;22;12;504;1;1;0;0.2;0.3;0.18;0.18;0.0;0.03;0.05;La Liga;6;1.07;0.18;90.4;93.2;94.7;79.3;-0.3;0.67;1.0;0.67;1.92;0.83;28.17;0.5;54.5;2.33;0.00;40.0;1.58;9.8;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.8;20.33;22.5;10.33;7.5;1.92;328.08;77.42;0.02;0.33;2.0;0.17;0.0;2.33;0.82;3.17;0.58;0.5;0.17;-9.600000000000001;-0.7899999999999999;33
Ezequiel Ávila;Betis;ARG;FW;30;6;298;1;1;0;0.7;0.1;0.3;0.3;0.0;0.22;0.02;La Liga;9;2.72;0.91;60.4;86.7;60.0;35.3;-0.1;0.17;0.33;0.17;0.5;0.67;20.83;0.33;50.0;2.72;0.30;44.4;1.17;5.2;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.30000000000000004;9.17;15.17;4.33;3.0;1.0;152.33;30.0;0.02;0.33;0.33;0.33;0.0;1.0;0.87;1.5;0.5;2.0;0.67;-4.5;-0.65;33
Cédric Bakambu;Betis;COD;FW;33;4;194;0;0;0;0.4;0.3;0.0;0.0;0.0;0.2;0.13;La Liga;4;1.86;0.46;66.7;70.0;58.3;0;-0.3;0.0;0.5;0.0;0.25;0.0;16.5;0.25;33.3;2.32;0.00;30.0;2.00;3.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.4;6.5;9.75;3.5;1.75;0.0;69.25;14.5;0.1;0.75;0.25;0.0;0.0;1.0;0.9;1.0;1.0;0.75;0.75;-3.2;-0.7;33
Francisco Barbosa;Betis;ESP;GK;24;3;225;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;64.3;100.0;93.3;40.9;0.0;0.0;0.0;0.0;0.0;0.67;30.33;0.0;0;0.00;0.00;100.0;1.33;2.3;0;3.7;0.26;-0.3;4;1.60;71.4;50.0;4.67;3.5;0.0;0.0;18.0;28.0;2.33;9.33;6.0;518.33;341.67;0.0;0.0;0.33;0.0;0.0;0.0;0.77;0.0;0.0;0.0;0.33;-2.3;-0.77;33
Marc Bartra;Betis;ESP;DF;33;3;225;0;0;0;0.2;0.0;0.0;0.0;0.0;0.08;0.0;La Liga;3;1.20;0.00;85.6;92.9;92.3;61.9;0.0;1.0;1.0;1.0;2.33;3.33;47.0;0.67;100.0;1.20;0.40;50.0;1.33;2.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;33.67;39.33;13.0;16.0;4.33;636.67;206.67;0.0;0.0;1.67;0.0;0.0;1.67;0.9;5.0;1.33;0.33;1.33;-2.5;-0.8200000000000001;33
Héctor Bellerín;Betis;ESP;DF;29;20;1545;0;0;1;0.0;1.4;0.0;0.0;0.06;0.0;0.08;La Liga;0;0.00;0.00;77.2;86.8;77.7;40.6;-0.4;0.95;0.6;1.0;2.45;1.9;54.5;0.65;29.5;1.51;0.17;32.7;1.75;20.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;35.3;45.7;19.0;13.95;1.4;533.65;227.4;0.06;0.7;2.45;0.7;0.15;3.8;1.01;3.95;0.9;0.45;0.8;-20.2;-1.01;33
Claudio Bravo;Betis;CHI;GK;41;7;630;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;La Liga;0;0.00;0.00;80.9;100.0;100.0;56.6;0.0;0.0;0.0;0.0;0.0;0.29;34.43;0.0;0;0.29;0.00;100.0;1.86;6.5;1;5.5;0.27;+1.5;5;0.71;75.0;28.6;2.86;4.0;0.0;0.0;26.57;32.86;6.0;12.29;8.0;712.57;474.57;0.01;0.14;0.43;0.29;0.0;0.14;0.93;2.0;0.0;0.14;0.29;-6.5;-0.93;33
Pablo Busto;Betis;ESP;DF;18;2;44;0;0;0;0.0;0.2;0.0;0.0;0.0;0.03;0.41;La Liga;1;2.05;0.00;69.2;78.6;71.4;33.3;-0.2;0.5;0.0;0.5;1.0;1.5;16.5;0.5;100.0;2.05;0.00;0;1.50;0.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;9.0;13.0;5.5;2.5;0.5;127.0;39.5;0.05;0.5;0.5;0.5;0.0;0.5;0.15;0.5;0.0;0.5;0.0;-0.3;-0.12;33
